answerID,specificAnswerID,answer (need a way to input these),answerImage,numAns,answerSubscripts
0,1b,"x = 4/5, 6",w22_11_m1b.png,2,
1,2b,5,w22_11_m2b.png,1,
2,2c,4π,w22_11_m2c.png,1,
3,4,"x = -1, 3/2 + r5/2",w22_11_m4.png,2,
4,5a,"a = 10, d = 5",w22_11_m5a.png,2,
4,5b,99,w22_11_m5b.png,1,
5,6,"a = 5, b = -13/9",w22_11_m6.png,2,
6,10,14,w22_11_m10.png,1,
7,12b,"-90°,-67.5°,-22.5°,0°,22.5°,67.5°,90°",w22_11_m12b.png,7,
8,1,"a = 2, b = 3, c = -4",w22_12_m1.png,3,
9,3,"k = 3/8 or 0.375, a = -2, b = 3/2 or 1.5, c = -16/5 or -3.2",w22_12_m3.png,4,
10,4,"x = -π/24, 11π/24, 23π/24",w22_12_m4.png,3,
11,5a,"(56,-192)",w22_12_m5a.png,2,
12,5c,"p = -5, q = 20",w22_12_m5c.png,2,
13,6,1144,w22_12_m6.png,1,
14,7a,2.8,w22_12_m7a.png,1,
14,7b,144,w22_12_m7b.png,1,
14,7c,439 ~ 440,w22_12_m7c.png,1,
15,8a,-1.5,w22_12_m8a.png,1,
16,3,x,w22_11_m3.png,1,
17,1a,x,w22_11_m2a.png,1,
18,2a,x,w22_11.m2a.png,1,
19,7a,x,w22_11_m7a.png,1,
19,7b,x,w22_11_m7b.png,1,
20,8,x,w22_11_m8.png,1,
21,9,x,w22_11_m9.png,2,
22,11a,x,w22_11_m11a.png,0,
22,11b,x,w22_11_m11b.png,1,
22,11c,x,w22_11_m11c.png,2,
23,12a,x,w22_11_m12a.png,0,
24,13,x,w22_12_m13.png,1,
25,2a,x,w22_12_m2a.png,0,
26,2b,x,w22_12_m2b.png,2,
27,5b,x,w22_12_m5b.png,1,
28,8a,-1.5,w22_12_m8a.png,1,
28,8d,x,w22_12_m8d.png,0,
28,8b,x,w22_12_m8b.png,0,
28,8c,x,w22_12_m8c.png,0,
29,9a,x,w22_12_m9a.png,0,
29,9b,"p = 27/2, q = -1/12",w22_12_m9b.png,2,
30,10a,p = 2,w22_12_m10a.png,1,
30,10b,n = 50,w22_12_m10b.png,1,
30,10c,x = 10^-3 or 0.001,w22_12_m10c.png,1,
31,11a,"a = 2, b = 1",w22_12_m11a.png,2,
31,11b,x,w22_12_m11b.png,0,
32,12,"a  = 2, b = 3, c = 544/5",w22_12_m12.png,3,